Source,Source_small,Country,Flag,Region,Remark,Excluded,Reason for Exclusion,rank
eidoo,eidoo,Switzerland,🇨🇭,Western Europe,,False,,89.0
EtherDelta,etherdelta,DEX,🏳,None,,False,,90.0
Ethermium,ethermium,DEX,🏳,None,,True,Unrealistic Volumes,91.0
Ethfinex,ethfinex,Hong Kong,🇭🇰,East Asia,,False,,92.0
Everbloom,everbloom,USA,🇺🇸,North America,,False,,93.0
Exenium,exenium,Russia,🇷🇺,Eastern Europe,,False,,94.0
Exmo,exmo,UK,🇬🇧,Western Europe,,False,,95.0
EXRATES,exrates,Indonesia,🇮🇩,East Asia,,False,,96.0
ExtStock,extstock,UK,🇬🇧,Western Europe,,False,,97.0
EXX,exx,Hong Kong,🇭🇰,East Asia,,True,Transaction Mining,98.0
fatbtc,fatbtc,China (formerly),🇨🇳,East Asia,,False,,99.0
FCCE,fcce,Japan,🇯🇵,East Asia,,False,,100.0
FCoin,fcoin,China (formerly),🇨🇳,East Asia,China (currently),True,Transaction Mining,101.0
Gatecoin,gatecoin,China (formerly),🇨🇳,East Asia,,False,,102.0
Gateio,gateio,Unknown,🏴‍,Unknown,,False,,103.0
Gemini,gemini,USA,🇺🇸,North America,,False,,104.0
Globitex,globitex,Gibraltar,????,Western Europe,,False,,105.0
Gneiss,gneiss,British Virgin Islands,🇻🇬,Western Europe,,False,,106.0
gopax,gopax,South Korea,🇰🇷,East Asia,,False,,107.0
Graviex,graviex,Russia,🇷🇺,Eastern Europe,,False,,108.0
HADAX,hadax,China (formerly),🇨🇳,East Asia,,False,,109.0
hbus,hbus,USA,🇺🇸,North America,,False,,110.0
Hikenex,hikenex,Malaysia,🇲🇾,East Asia,,False,,111.0
HitBTC,hitbtc,UK,🇬🇧,Western Europe,,False,,112.0
huobijapan,huobijapan,Japan,🇯🇵,East Asia,,False,,113.0
huobikorea,huobikorea,South Korea,🇰🇷,East Asia,,False,,114.0
HuobiPro,huobipro,China (formerly),🇨🇳,East Asia,,False,,115.0
iCoinbay,icoinbay,Marshall Islands,????,Oceania,,False,,116.0
IDAX,idax,Mongolia,🇲🇳,East Asia,,False,,117.0
idevex,idevex,Hong Kong,🇭🇰,East Asia,,False,,118.0
IDEX,idex,DEX,🏳,None,,False,,119.0
Incorex,incorex,Estonia,????,Eastern Europe,,False,,120.0
